Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Miami,USA,4396.75,30,722,326,262,5423,11224,4,3,25.7616798,-80.1917902,2013
BTG/Krishna.com,USA,4295.00,-37,0,0,0,0,5154,859,0,nodata-lat,nodata-lon,2013
Tyumen,Rus,4233.75,55,1209,822,1651,673,0,0,0,57.1612975,65.5250172,2013
Perth,Aus,4123.00,216,564,2034,588,2668,0,0,0,-31.98783,116.065079,2013
New,Jersey-Towa,USA,4083.50,212,1918,0,190,504,265,0,0,28.5558863,77.2539484,2013
Madrid,Spa,4030.25,66,518,2853,7,551,0,0,0,40.4167754,-3.7037902,2013
Pandharpur,Ind,3998.75,-97,1722,58,0,1987,0,0,0,17.6818218,75.3416258,2013
Ljubljana,Slo,3935.00,-15,295,1013,2917,3494,0,0,0,46.0569465,14.5057515,2013
Tomsk,Rus,3873.25,na,816,1091,1253,2095,0,0,0,56.5010397,84.9924506,2013
Guadalajara,Mex,3871.75,na,167,220,2188,8895,0,0,0,20.6596988,-103.3496092,2013
Vancouver,Can,3846.90,-11,958,312,1876,1028,895,76,2,45.6387281,-122.6614861,2013
Nellore,Ind,3813.25,-1,470,726,456,7677,0,0,0,14.4230197,79.9794161,2013
Munich,Ger,3787.50,96,1366,194,1723,0,0,0,0,48.1351253,11.5819806,2013
Columbus,USA,3626.00,na,1082,572,1187,1146,100,0,0,18.4895744,-69.8639932,2013
Gurabo,Pue,3479.25,na,349,1767,1146,1765,0,0,2,nodata-lat,nodata-lon,2013
Lenasia,SA,3413.55,10,767,178,674,5455,8,0,15,-26.331,27.8776,2013
Accra,Gha,3363.00,138,898,888,847,1022,0,0,0,5.6037168,-0.1869644,2013
Belo,Horizonte,Bra,3167.85,-60,164,532,380,8471,1,0,0,-19.9166813,-43.9344931,2013
Berkeley,USA,3159.45,-41,613,351,1519,2713,1076,9,3,37.8591369,-122.2603082,2013
Severodvinsk,Rus,3095.00,na,788,832,822,1104,0,0,0,64.5661757,39.8505981,2013
Bhaktiloka,SVK,2728.25,na,306,1758,0,1433,0,0,0,46.635417,32.616867,2013
New,Govardhana,Aus,2578.00,na,798,234,846,1300,0,0,0,28.5558863,77.2539484,2013
Rovno,Ukr,2551.75,92,720,111,1262,1479,0,0,0,50.6199,26.251617,2013
New,Jersey-Edis,USA,2540.25,-86,1237,0,66,113,6,1,13,28.5558863,77.2539484,2013
